CountyName,FIPSNumber,CountyNumber,PublicHealthRegion,HealthServiceRegion,MetropolitanStatisticalArea_MSA,MetropolitanDivisions,MetroArea,NCHSUrbanRuralClassification_2006,NCHSUrbanRuralClassification_2013
Anderson,001,1,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Andrews,003,2,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan
Angelina,005,3,5,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Aransas,007,4,11,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro
Archer,009,5,2,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro
Armstrong,011,6,1,1,Amarillo,--,Metro,Small Metro,Medium Metro
Atascosa,013,7,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Austin,015,8,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Bailey,017,9,1,1,--,--,Non-Metro,Noncore,Non-core
Bandera,019,10,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Bastrop,021,11,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro
Baylor,023,12,2,2/3,--,--,Non-Metro,Noncore,Non-core
Bee,025,13,11,11,--,--,Non-Metro,Micropolitan,Micropolitan
Bell,027,14,7,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro
Bexar,029,15,8,8,San Antonio-New Braunfels,--,Metro,Large Central Metro,Large Central Metro
Blanco,031,16,7,7,--,--,Non-Metro,Noncore,Non-core
Borden,033,17,9,9/10,--,--,Non-Metro,Noncore,Non-core
Bosque,035,18,7,7,--,--,Non-Metro,Noncore,Non-core
Bowie,037,19,4,4/5N,Texarkana,--,Metro,Small Metro,Small Metro
Brazoria,039,20,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Brazos,041,21,7,7,College Station-Bryan,--,Metro,Small Metro,Small Metro
Brewster,043,22,10,9/10,--,--,Non-Metro,Noncore,Non-core
Briscoe,045,23,1,1,--,--,Non-Metro,Noncore,Non-core
Brooks,047,24,11,11,--,--,Non-Metro,Noncore,Non-core
Brown,049,25,2,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Burleson,051,26,7,7,College Station-Bryan,--,Metro,Small Metro,Small Metro
Burnet,053,27,7,7,--,--,Non-Metro,Noncore,Non-core
Caldwell,055,28,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro
Calhoun,057,29,8,8,--,--,Non-Metro,Small Metro,Micropolitan
Callahan,059,30,2,2/3,Abilene,--,Metro,Small Metro,Small Metro
Cameron,061,31,11,11,Brownsville-Harlingen,--,Metro,Medium Metro,Medium Metro
Camp,063,32,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Carson,065,33,1,1,Amarillo,--,Metro,Small Metro,Medium Metro
Cass,067,34,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Castro,069,35,1,1,--,--,Non-Metro,Noncore,Non-core
Chambers,071,36,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Cherokee,073,37,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Childress,075,38,1,1,--,--,Non-Metro,Noncore,Non-core
Clay,077,39,2,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro
Cochran,079,40,1,1,--,--,Non-Metro,Noncore,Non-core
Coke,081,41,9,9/10,--,--,Non-Metro,Noncore,Non-core
Coleman,083,42,2,2/3,--,--,Non-Metro,Noncore,Non-core
Collin,085,43,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Central Metro
Collingsworth,087,44,1,1,--,--,Non-Metro,Noncore,Non-core
Colorado,089,45,6,6/5S,--,--,Non-Metro,Noncore,Non-core
Comal,091,46,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Comanche,093,47,2,2/3,--,--,Non-Metro,Noncore,Non-core
Concho,095,48,9,9/10,--,--,Non-Metro,Noncore,Non-core
Cooke,097,49,3,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Coryell,099,50,7,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro
Cottle,101,51,2,2/3,--,--,Non-Metro,Noncore,Non-core
Crane,103,52,9,9/10,--,--,Non-Metro,Noncore,Non-core
Crockett,105,53,9,9/10,--,--,Non-Metro,Noncore,Non-core
Crosby,107,54,1,1,Lubbock,--,Metro,Medium Metro,Medium Metro
Culberson,109,55,10,9/10,--,--,Non-Metro,Noncore,Non-core
Dallam,111,56,1,1,--,--,Non-Metro,Noncore,Non-core
Dallas,113,57,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Central Metro,Large Central Metro
Dawson,115,58,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan
Deaf Smith,117,59,1,1,--,--,Non-Metro,Micropolitan,Micropolitan
Delta,119,60,4,4/5N,--,--,Non-Metro,Large Fringe Metro,Non-core
Denton,121,61,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro
DeWitt,123,62,8,8,--,--,Non-Metro,Noncore,Non-core
Dickens,125,63,1,1,--,--,Non-Metro,Noncore,Non-core
Dimmit,127,64,8,8,--,--,Non-Metro,Noncore,Non-core
Donley,129,65,1,1,--,--,Non-Metro,Noncore,Non-core
Duval,131,66,11,11,--,--,Non-Metro,Noncore,Non-core
Eastland,133,67,2,2/3,--,--,Non-Metro,Noncore,Non-core
Ector,135,68,9,9/10,Odessa,--,Metro,Small Metro,Small Metro
Edwards,137,69,8,8,--,--,Non-Metro,Noncore,Non-core
Ellis,139,70,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro
El Paso,141,71,10,9/10,El Paso,--,Metro,Medium Metro,Medium Metro
Erath,143,72,3,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Falls,145,73,7,7,Waco,--,Metro,Noncore,Medium Metro
Fannin,147,74,3,2/3,--,--,Non-Metro,Micropolitan,Non-core
Fayette,149,75,7,7,--,--,Non-Metro,Noncore,Non-core
Fisher,151,76,2,2/3,--,--,Non-Metro,Noncore,Non-core
Floyd,153,77,1,1,--,--,Non-Metro,Noncore,Non-core
Foard,155,78,2,2/3,--,--,Non-Metro,Noncore,Non-core
Fort Bend,157,79,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Franklin,159,80,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Freestone,161,81,7,7,--,--,Non-Metro,Noncore,Non-core
Frio,163,82,8,8,--,--,Non-Metro,Noncore,Non-core
Gaines,165,83,9,9/10,--,--,Non-Metro,Noncore,Non-core
Galveston,167,84,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Garza,169,85,1,1,--,--,Non-Metro,Noncore,Non-core
Gillespie,171,86,8,8,--,--,Non-Metro,Noncore,Micropolitan
Glasscock,173,87,9,9/10,--,--,Non-Metro,Noncore,Micropolitan
Goliad,175,88,8,8,Victoria,--,Metro,Small Metro,Small Metro
Gonzales,177,89,8,8,--,--,Non-Metro,Noncore,Non-core
Gray,179,90,1,1,--,--,Non-Metro,Micropolitan,Micropolitan
Grayson,181,91,3,2/3,Sherman-Denison,--,Metro,Small Metro,Small Metro
Gregg,183,92,4,4/5N,Longview,--,Metro,Small Metro,Small Metro
Grimes,185,93,7,7,--,--,Non-Metro,Noncore,Non-core
Guadalupe,187,94,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Hale,189,95,1,1,--,--,Non-Metro,Micropolitan,Micropolitan
Hall,191,96,1,1,--,--,Non-Metro,Noncore,Non-core
Hamilton,193,97,7,7,--,--,Non-Metro,Noncore,Non-core
Hansford,195,98,1,1,--,--,Non-Metro,Noncore,Non-core
Hardeman,197,99,2,2/3,--,--,Non-Metro,Noncore,Non-core
Hardin,199,100,5,6/5S,Beaumont-Port Arthur,--,Metro,Medium Metro,Medium Metro
Harris,201,101,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Central Metro,Large Central Metro
Harrison,203,102,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Hartley,205,103,1,1,--,--,Non-Metro,Noncore,Non-core
Haskell,207,104,2,2/3,--,--,Non-Metro,Noncore,Non-core
Hays,209,105,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro
Hemphill,211,106,1,1,--,--,Non-Metro,Noncore,Non-core
Henderson,213,107,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Hidalgo,215,108,11,11,McAllen-Edinburgh-Mission,--,Metro,Medium Metro,Medium Metro
Hill,217,109,7,7,--,--,Non-Metro,Noncore,Non-core
Hockley,219,110,1,1,--,--,Non-Metro,Micropolitan,Micropolitan
Hood,221,111,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Micropolitan,Large Fringe Metro
Hopkins,223,112,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Houston,225,113,5,4/5N,--,--,Non-Metro,Noncore,Non-core
Howard,227,114,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan
Hudspeth,229,115,10,9/10,El Paso,--,Metro,Noncore,Medium Metro
Hunt,231,116,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro
Hutchinson,233,117,1,1,--,--,Non-Metro,Micropolitan,Micropolitan
Irion,235,118,9,9/10,San Angelo,--,Metro,Small Metro,Small Metro
Jack,237,119,2,2/3,--,--,Non-Metro,Noncore,Non-core
Jackson,239,120,8,8,--,--,Non-Metro,Noncore,Non-core
Jasper,241,121,5,4/5N,--,--,Non-Metro,Noncore,Non-core
Jeff Davis,243,122,10,9/10,--,--,Non-Metro,Noncore,Non-core
Jefferson,245,123,5,6/5S,Beaumont-Port Arthur,--,Metro,Medium Metro,Medium Metro
Jim Hogg,247,124,11,11,--,--,Non-Metro,Noncore,Non-core
Jim Wells,249,125,11,11,--,--,Non-Metro,Micropolitan,Micropolitan
Johnson,251,126,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Large Fringe Metro,Large Fringe Metro
Jones,253,127,2,2/3,Abilene,--,Metro,Small Metro,Small Metro
Karnes,255,128,8,8,--,--,Non-Metro,Noncore,Non-core
Kaufman,257,129,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro
Kendall,259,130,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Kenedy,261,131,11,11,--,--,Non-Metro,Micropolitan,Micropolitan
Kent,263,132,2,2/3,--,--,Non-Metro,Noncore,Non-core
Kerr,265,133,8,8,--,--,Non-Metro,Micropolitan,Micropolitan
Kimble,267,134,9,9/10,--,--,Non-Metro,Noncore,Non-core
King,269,135,1,1,--,--,Non-Metro,Noncore,Non-core
Kinney,271,136,8,8,--,--,Non-Metro,Noncore,Non-core
Kleberg,273,137,11,11,--,--,Non-Metro,Micropolitan,Micropolitan
Knox,275,138,2,2/3,--,--,Non-Metro,Noncore,Non-core
Lamar,277,139,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Lamb,279,140,1,1,--,--,Non-Metro,Noncore,Non-core
Lampasas,281,141,7,7,Killeen-Temple,--,Metro,Medium Metro,Medium Metro
La Salle,283,142,8,8,--,--,Non-Metro,Noncore,Non-core
Lavaca,285,143,8,8,--,--,Non-Metro,Noncore,Non-core
Lee,287,144,7,7,--,--,Non-Metro,Noncore,Non-core
Leon,289,145,7,7,--,--,Non-Metro,Noncore,Non-core
Liberty,291,146,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Limestone,293,147,7,7,--,--,Non-Metro,Noncore,Non-core
Lipscomb,295,148,1,1,--,--,Non-Metro,Noncore,Non-core
Live Oak,297,149,11,11,--,--,Non-Metro,Noncore,Non-core
Llano,299,150,7,7,--,--,Non-Metro,Noncore,Non-core
Loving,301,151,9,9/10,--,--,Non-Metro,Noncore,Non-core
Lubbock,303,152,1,1,Lubbock,--,Metro,Medium Metro,Medium Metro
Lynn,305,153,1,1,Lubbock,--,Metro,Noncore,Medium Metro
McCulloch,307,154,9,9/10,--,--,Non-Metro,Noncore,Non-core
McLennan,309,155,7,7,Waco,--,Metro,Small Metro,Medium Metro
McMullen,311,156,11,11,--,--,Non-Metro,Noncore,Non-core
Madison,313,157,7,7,--,--,Non-Metro,Noncore,Non-core
Marion,315,158,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Martin,317,159,9,9/10,Midland,--,Metro,Noncore,Small Metro
Mason,319,160,9,9/10,--,--,Non-Metro,Noncore,Non-core
Matagorda,321,161,6,6/5S,--,--,Non-Metro,Micropolitan,Micropolitan
Maverick,323,162,8,8,--,--,Non-Metro,Micropolitan,Micropolitan
Medina,325,163,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Menard,327,164,9,9/10,--,--,Non-Metro,Noncore,Non-core
Midland,329,165,9,9/10,Midland,--,Metro,Small Metro,Small Metro
Milam,331,166,7,7,--,--,Non-Metro,Noncore,Non-core
Mills,333,167,7,7,--,--,Non-Metro,Noncore,Non-core
Mitchell,335,168,2,2/3,--,--,Non-Metro,Noncore,Non-core
Montague,337,169,2,2/3,--,--,Non-Metro,Noncore,Non-core
Montgomery,339,170,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Moore,341,171,1,1,--,--,Non-Metro,Micropolitan,Micropolitan
Morris,343,172,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Motley,345,173,1,1,--,--,Non-Metro,Noncore,Non-core
Nacogdoches,347,174,5,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Navarro,349,175,3,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Newton,351,176,5,4/5N,Beaumont-Port Arthur,--,Metro,Noncore,Medium Metro
Nolan,353,177,2,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Nueces,355,178,11,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro
Ochiltree,357,179,1,1,--,--,Non-Metro,Noncore,Non-core
Oldham,359,180,1,1,Amarillo,--,Metro,Noncore,Medium Metro
Orange,361,181,5,6/5S,Beaumont-Port Arthur,--,Metro,Medium Metro,Medium Metro
Palo Pinto,363,182,3,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Panola,365,183,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Parker,367,184,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Large Fringe Metro,Large Fringe Metro
Parmer,369,185,1,1,--,--,Non-Metro,Noncore,Non-core
Pecos,371,186,9,9/10,--,--,Non-Metro,Noncore,Non-core
Polk,373,187,5,4/5N,--,--,Non-Metro,Noncore,Non-core
Potter,375,188,1,1,Amarillo,--,Metro,Small Metro,Medium Metro
Presidio,377,189,10,9/10,--,--,Non-Metro,Noncore,Non-core
Rains,379,190,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Randall,381,191,1,1,Amarillo,--,Metro,Small Metro,Medium Metro
Reagan,383,192,9,9/10,--,--,Non-Metro,Noncore,Non-core
Real,385,193,8,8,--,--,Non-Metro,Noncore,Non-core
Red River,387,194,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Reeves,389,195,9,9/10,--,--,Non-Metro,Micropolitan,Micropolitan
Refugio,391,196,11,11,--,--,Non-Metro,Noncore,Non-core
Roberts,393,197,1,1,--,--,Non-Metro,Micropolitan,Non-core
Robertson,395,198,7,7,College Station-Bryan,--,Metro,Small Metro,Small Metro
Rockwall,397,199,3,2/3,Dallas-Fort Worth-Arlington,Dallas-Plano-Irving MD,Metro,Large Fringe Metro,Large Fringe Metro
Runnels,399,200,2,2/3,--,--,Non-Metro,Noncore,Non-core
Rusk,401,201,4,4/5N,Longview,--,Metro,Small Metro,Small Metro
Sabine,403,202,5,4/5N,--,--,Non-Metro,Noncore,Non-core
San Augustine,405,203,5,4/5N,--,--,Non-Metro,Noncore,Non-core
San Jacinto,407,204,5,4/5N,--,--,Non-Metro,Large Fringe Metro,Non-core
San Patricio,409,205,11,11,Corpus Christi,--,Metro,Medium Metro,Medium Metro
San Saba,411,206,7,7,--,--,Non-Metro,Noncore,Non-core
Schleicher,413,207,9,9/10,--,--,Non-Metro,Noncore,Non-core
Scurry,415,208,2,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Shackelford,417,209,2,2/3,--,--,Non-Metro,Noncore,Non-core
Shelby,419,210,5,4/5N,--,--,Non-Metro,Noncore,Non-core
Sherman,421,211,1,1,--,--,Non-Metro,Noncore,Non-core
Smith,423,212,4,4/5N,Tyler,--,Metro,Small Metro,Small Metro
Somervell,425,213,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Micropolitan,Large Fringe Metro
Starr,427,214,11,11,--,--,Non-Metro,Micropolitan,Micropolitan
Stephens,429,215,2,2/3,--,--,Non-Metro,Noncore,Non-core
Sterling,431,216,9,9/10,--,--,Non-Metro,Noncore,Non-core
Stonewall,433,217,2,2/3,--,--,Non-Metro,Noncore,Non-core
Sutton,435,218,9,9/10,--,--,Non-Metro,Noncore,Non-core
Swisher,437,219,1,1,--,--,Non-Metro,Noncore,Non-core
Tarrant,439,220,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Large Central Metro,Large Central Metro
Taylor,441,221,2,2/3,Abilene,--,Metro,Small Metro,Small Metro
Terrell,443,222,9,9/10,--,--,Non-Metro,Noncore,Non-core
Terry,445,223,1,1,--,--,Non-Metro,Noncore,Non-core
Throckmorton,447,224,2,2/3,--,--,Non-Metro,Noncore,Non-core
Titus,449,225,4,4/5N,--,--,Non-Metro,Micropolitan,Micropolitan
Tom Green,451,226,9,9/10,San Angelo,--,Metro,Small Metro,Small Metro
Travis,453,227,7,7,Austin-Round Rock,--,Metro,Large Central Metro,Large Central Metro
Trinity,455,228,5,4/5N,--,--,Non-Metro,Noncore,Micropolitan
Tyler,457,229,5,4/5N,--,--,Non-Metro,Noncore,Non-core
Upshur,459,230,4,4/5N,Longview,--,Metro,Small Metro,Small Metro
Upton,461,231,9,9/10,--,--,Non-Metro,Noncore,Non-core
Uvalde,463,232,8,8,--,--,Non-Metro,Micropolitan,Micropolitan
Val Verde,465,233,8,8,--,--,Non-Metro,Micropolitan,Micropolitan
Van Zandt,467,234,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Victoria,469,235,8,8,Victoria,--,Metro,Small Metro,Small Metro
Walker,471,236,6,6/5S,--,--,Non-Metro,Micropolitan,Micropolitan
Waller,473,237,6,6/5S,Houston-The Woodlands-Sugar Land,--,Metro,Large Fringe Metro,Large Fringe Metro
Ward,475,238,9,9/10,--,--,Non-Metro,Noncore,Non-core
Washington,477,239,7,7,--,--,Non-Metro,Micropolitan,Micropolitan
Webb,479,240,11,11,Laredo,--,Metro,Small Metro,Medium Metro
Wharton,481,241,6,6/5S,--,--,Non-Metro,Micropolitan,Micropolitan
Wheeler,483,242,1,1,--,--,Non-Metro,Noncore,Non-core
Wichita,485,243,2,2/3,Wichita Falls,--,Metro,Small Metro,Small Metro
Wilbarger,487,244,2,2/3,--,--,Non-Metro,Micropolitan,Micropolitan
Willacy,489,245,11,11,--,--,Non-Metro,Micropolitan,Micropolitan
Williamson,491,246,7,7,Austin-Round Rock,--,Metro,Large Fringe Metro,Large Fringe Metro
Wilson,493,247,8,8,San Antonio-New Braunfels,--,Metro,Large Fringe Metro,Large Fringe Metro
Winkler,495,248,9,9/10,--,--,Non-Metro,Noncore,Non-core
Wise,497,249,3,2/3,Dallas-Fort Worth-Arlington,Fort Worth-Arlington MD,Metro,Large Fringe Metro,Large Fringe Metro
Wood,499,250,4,4/5N,--,--,Non-Metro,Noncore,Non-core
Yoakum,501,251,1,1,--,--,Non-Metro,Noncore,Non-core
Young,503,252,2,2/3,--,--,Non-Metro,Noncore,Non-core
Zapata,505,253,11,11,--,--,Non-Metro,Noncore,Micropolitan
Zavala,507,254,8,8,--,--,Non-Metro,Noncore,Non-core
